cluster,num_contratos,suma_valor_total_contrato,promedio_valor_total_contrato,num_departamentos,num_estados_proceso,num_clases_proceso,num_tipos_proceso,num_familias,num_clases,meses_desde_ultimo_contrato,SANTANDER,VAUPES,NARIÑO,CAQUETA,NO DEFINIDO,CASANARE,META,AMAZONAS,GUAVIARE,CAUCA,VICHADA,ANTIOQUIA,QUINDIO,CHOCO,SAN ANDRES PROVIDENCIA Y SANTA CATALINA,CALDAS,BOYACA,VALLE DEL CAUCA,CUNDINAMARCA,LA GUAJIRA,TOLIMA,ARAUCA,NORTE DE SANTANDER,BOGOTA,HUILA,SUCRE,ATLANTICO,BOLIVAR,RISARALDA,PUTUMAYO,MAGDALENA,GUAINIA,CORDOBA,CESAR,TERMINADO,ACTIVO,BORRADOR,CEDIDO,MODIFICADO,EN EJECUCION,ENVIADO PROVEEDOR,SUSPENDIDO,CERRADO,CONTRATACION DIRECTA,null,CONCURSO DE MERITOS,CONTRATACION MINIMA CUANTIA,LICITACION OBRA PUBLICA,SUBASTA,LICITACION PUBLICA,REGIMEN ESPECIAL,SELECCION ABREVIADA DE MENOR CUANTIA,EMPRESTITO,SEGUROS,CONSULTORIA,PRESTACION DE SERVICIOS,ACUERDO MARCO DE PRECIOS,COMISION,COMPRAVENTA,COMODATO,SUMINISTROS,SERVICIOS FINANCIEROS,NEGOCIO FIDUCIARIO,OTRO,VENTA INMUEBLES,ARRENDAMIENTO DE INMUEBLES,ARRENDAMIENTO DE MUEBLES,INTERVENTORIA,CONCESION,ASOCIACION PUBLICO PRIVADA,OBRA,DECREELAW0922017,VENTA MUEBLES,numero_de_multas,suma_valor_sancion,promedio_valor_sancion,meses_desde_ultima_multa,ID_CONTRATISTA,participacion_num_contratos,participacion_promedio_valor_total_contrato,participacion_numero_de_multas,participacion_promedio_valor_sancion,indice_de_transparencia,cluster
0,1.2388044329089936,38365633.807605155,32905905.625699334,1.0016067235199604,1.0742800642689407,0.9992378362789931,1.002018703909694,1.0253779920075805,1.0253779920075805,23.372203683104683,0.0647839162855848,0.0003707823507601038,0.024409838091706836,0.003316442137354262,0.0068388744695752485,0.010567296996662959,0.02031063321385902,0.0,0.001565525480987105,0.01132946071766984,0.00026778725332674165,0.10202694351748856,0.02379186750710666,0.003234046059407572,0.009537346022329337,0.02164956948049273,0.018848102830305278,0.16549252255592634,0.02970378609978165,0.005458740163968195,0.02031063321385902,0.008672187203889094,0.024389239072220164,0.48529230008651586,0.016108433238577843,0.007971820541342232,0.04896386931982038,0.030218761586948462,0.03069253903514193,0.003378239195814279,0.011370658756643184,0.0007415647015202076,0.009331355827462614,0.017859349894945,0.029724385119268323,0.046430189922959664,0.0,0.007889424463395543,0.229720265315371,0.917686318131257,0.0,0.0,0.007353849956742059,1.1123470522803114,0.002842664689160796,0.0031928480204342275,0.0062003048654884025,6.179705846001731e-05,4.119803897334487e-05,0.0,0.11339760227413175,0.0007209656820335352,0.0,0.00028838627281341407,0.00012359411692003462,1.1834136695093314,0.0,0.0,0.0003089852923000865,0.0,0.002265892143533968,4.119803897334487e-05,0.0,0.005170353891154781,0.0,0.00449058624809459,4.119803897334487e-05,0.0031104519424875374,0.0,0.0,0.0007415647015202076,0.03880855271289087,0.0,0.0001853911753800519,1299.8232192147655,1016.3807110781527,99983519.7972,555849623.3986528,0.1557556839831073,0.08810399455832596,0.08509701035458966,0.01836944629514264,0.1425013409304106,0
1,1.21526835099378,41426718.42522844,30820311.380925972,1.0031606459063558,1.077314261401625,0.9999797394493183,1.002795955994084,1.0220637396924448,1.0220637396924448,23.32564783110805,0.04694369592965537,0.00036468991227181556,0.0195311708572239,0.0038089835281722956,0.004193933991125879,0.015114370808598577,0.0187815304819985,0.00010130275340883765,0.0009319853313613064,0.016289482748141095,0.0007091192738618636,0.0830479972445651,0.016937820369957654,0.007921875316571104,0.009562979921794274,0.010272099195656139,0.017444334137001843,0.17904248637477968,0.03855582794740361,0.004437060599307089,0.022793119516988473,0.003586117470672853,0.02208400024312661,0.48787406041696213,0.017788763498591893,0.009907409283384322,0.05217091800555139,0.04315497295216484,0.02544725165630002,0.004639666106124764,0.011609295540652795,0.0026136110379480115,0.007273537694754543,0.010332880847701441,0.028466073707883382,0.05377150150941103,0.0,0.008002917519298174,0.23342180440464372,0.8806045748323439,0.0,0.0006483376218165609,0.010353141398383208,1.1095082764349535,0.0028972587474927567,0.0,0.008489170735660596,0.00036468991227181556,0.0002026055068176753,0.0,0.09332009644022124,0.00048625321636242073,2.026055068176753e-05,0.00018234495613590778,0.0,1.169499767003667,0.0,0.0,0.0017424073586320076,8.104220272707012e-05,0.002370484429766801,2.026055068176753e-05,0.0,0.006989889985209798,0.0,0.0035253358186275504,2.026055068176753e-05,0.0,0.0004254715643171181,0.0,0.0002633871588629779,0.030127438863788318,0.0,0.0010738091861336792,36043.189171140875,33046.922122799195,99918956.8576546,39619330770.742386,0.15279647715465075,0.08251991533307951,0.4928926700202769,0.5972699545926771,0.0774842135602027,1
2,1.2101768551345369,34794073.040555775,30506173.170270838,1.0015574727954588,1.0672582330880998,0.9992212636022706,1.0025206467610714,1.0144066233579934,1.0144066233579934,23.27485296227227,0.042523105928643154,0.0001229583785888477,0.021866098325716746,0.009877656413304096,0.0060044674877553945,0.009836670287107814,0.017992909400168042,0.00047134045125724945,0.00045084738815910814,0.01680431174047585,0.0010041600918089227,0.1256429698547042,0.024427731212984406,0.007090599831956882,0.0072340512736438715,0.01153759452425354,0.019960243457589608,0.13892247474229974,0.01858720823001414,0.0016394450478513024,0.030657622394819353,0.00014345144168698896,0.024427731212984406,0.48664876939156093,0.02272680697583868,0.014201692727011906,0.05914298010123573,0.03604729798963051,0.021907084451913028,0.004406008566100375,0.011885976596921942,0.0001229583785888477,0.0037297374838617127,0.012131893354099638,0.028546836895710803,0.044654384490849845,2.049306309814128e-05,0.011742525155234954,0.21042277189171466,0.9063671947045925,0.0,0.0005123265774535319,0.007910322355882534,1.1062565321638624,0.002213250814599258,2.049306309814128e-05,0.007438981904625284,0.0,0.00043035432506096684,0.0,0.09332540934893538,0.0004918335143553908,4.098612619628256e-05,4.098612619628256e-05,4.098612619628256e-05,1.177264995798922,0.0,0.0,0.000594298829846097,0.0,0.0014345144168698895,6.147918929442384e-05,0.0,0.004078119556530114,0.0,0.003668258294567289,0.0,0.0,0.0,4.098612619628256e-05,0.0004098612619628256,0.02211201508289444,0.0003893681988646843,0.00018443756788327152,17007.06342603029,16986.884593315164,99983604.56084688,18521912398368.082,0.15215632008143834,0.08167882524071302,0.08465929185552207,0.3070106121235659,0.13927487377200162,2
3,1.2103553258004536,38867763.075621665,31876985.196584616,1.0029014527696614,1.0637502298686172,0.9991418238286917,1.0023293353221225,1.0212705093888559,1.0212705093888559,23.39104227539282,0.058928097096503956,0.0006947140434400605,0.020718824707300628,0.004147851494656831,0.005884636603256983,0.014997650231911894,0.0152632761896978,0.000960340001225966,0.00046995361762121736,0.014936351933961301,0.0,0.08667579330213931,0.027175578758096484,0.001409860852863652,0.01338346171921293,0.01305653746347643,0.017817371937639197,0.18023742874072862,0.0241719621585174,0.0026562595778590547,0.03314194642528759,0.003412271919249709,0.023742874072863244,0.4766759976297991,0.017061359596248545,0.007805316605708915,0.04190760303222247,0.043235732821152,0.020371467685580597,0.003923091068837988,0.015345007253631924,2.043276598353119e-05,0.010870231503238594,0.009256042990539629,0.026399133650722297,0.03698330643019145,2.043276598353119e-05,0.010706769375370344,0.2146870721889622,0.9133855049958113,0.00012259659590118714,0.0017367851086001512,0.006313724688911138,1.1004474775750392,0.0027175578758096485,0.0023702008540896183,0.008275270223330132,4.086553196706238e-05,0.0005312519155718109,0.0,0.0956457775689095,0.00032692425573649906,2.043276598353119e-05,6.129829795059357e-05,0.00026562595778590546,1.1681207985124946,0.0,0.0,0.00046995361762121736,0.0,0.0016346212786824952,6.129829795059357e-05,0.0,0.006824543838499418,0.0,0.004617805112278049,0.0015733229807319018,0.003248809791381459,0.0,2.043276598353119e-05,0.00024519319180237427,0.0231911893913079,0.0,0.00010216382991765595,232.74920823031815,232.74920823031815,99989782.62609884,55116356669.46192,0.15217875931389693,0.08534910913080335,0.04689455403982925,0.004206567513750314,0.14504240426153722,3
4,1.1873694033635607,36615326.630535774,31884612.33766938,1.0013592193617755,1.0612257318483356,0.9994725417402065,1.0004665976913558,1.0162294849167224,1.0162294849167224,23.276672144117825,0.05779725315967785,0.0007100399651066075,0.02403992453289514,0.004239952934493742,0.006796096808877528,0.01209096626295823,0.01878562879110624,0.0021706936076116286,0.00024344227375083682,0.01334875134400422,0.00016229484916722455,0.10139370701722354,0.03199237214208914,0.00284015986042643,0.007059825938774268,0.018684194510376728,0.01902907106485708,0.1389446777432901,0.0310591767593776,0.004503682064390482,0.02519627533321161,0.006552654535126691,0.029841965390623414,0.4750370235124663,0.012679285091189419,0.011259205160976204,0.039782524902115916,0.029699957397602093,0.029902825959061123,0.004949992899600349,0.014058791309110827,0.0007709005335443166,0.004706550625849512,0.007039539082628365,0.035278842837725435,0.04899275759235591,0.0,0.00693810480189885,0.20690564583206542,0.8861704501653379,0.0,0.0,0.0030836021341772665,1.083723855314142,0.0032864706956362974,0.0,0.007749579047734973,0.0,4.057371229180614e-05,0.0,0.09202117947781632,0.0005477451159393829,0.0,2.028685614590307e-05,0.0,1.1524151502241697,0.0,0.0,0.0005071714036475768,0.00022315541760493376,0.0007911873896902197,0.0,0.0,0.008094455602215325,0.0,0.003955936948451098,0.0,0.0,0.0,2.028685614590307e-05,0.0,0.02134177266549003,0.0,0.0002637291298967399,964.9189540096971,661.4275860669871,99977683.47586682,33926926848.184124,0.14928872439310334,0.08536953043767365,0.12105517132421513,0.011954239575734237,0.13121655228492268,4
5,1.8915359065399153,553149292.549167,215495384.60005882,1.1458023135952353,1.2794894310184655,1.052851270695733,1.0935746191730615,1.2774150854554016,1.2774150854554016,22.26112574606447,0.05780170274500821,0.00030542511357996413,0.027144656969419312,0.013922294760686698,0.01072805711449624,0.027717329057381744,0.05123506280303898,0.002137975795059749,0.0025579353262321996,0.040392471270950255,0.0025197571870347038,0.1444024484913272,0.030555237404395575,0.01739650542765879,0.01774010868043625,0.046271904707364565,0.04254317311240917,0.1239771440206671,0.05781442879140737,0.013591417554308403,0.05229132465416969,0.013425978951119256,0.0363201364232174,0.7601522035149341,0.03014800391962229,0.024446735132796295,0.07065500960816504,0.039208948955827896,0.05034423955509742,0.022906883518497307,0.028124562542155028,0.0004708637167691113,0.011975209661614427,0.020310770053067615,0.07334020539838888,0.16304610646610418,1.2726046399165171e-05,0.024701256060779598,0.40822611639242035,1.2067091716616398,5.0904185596660686e-05,0.006095776225200117,0.009353644103386401,1.2614438972244493,0.0873643085302689,0.0026470176510263554,0.21925705341121673,0.0122042784967994,0.03616742386642742,0.0010180837119332137,0.22883976634978812,0.04259407729800583,0.0009162753407398924,0.006006693900405961,0.005383117626846868,1.3799615673398746,0.0010180837119332137,0.00020361674238664274,0.08007228394354726,0.009366370149785566,0.09360007126585984,0.0006490283663574237,0.00011453441759248655,0.16593491899871468,8.90823247941562e-05,0.033011364359434456,3.8178139197495516e-05,0.0009926316191348834,1.2726046399165171e-05,0.0001781646495883124,0.02461217373598544,0.0893368457221395,3.8178139197495516e-05,0.00036905534557578996,3842.262114050828,3385.5948174448645,99973274.32217546,57072738388.961494,0.23782403507380323,0.5769786252994045,0.16940130240556692,0.061189179899129933,0.19753633378895372,5
